No,Station Name,Station ID,Address,City,State,Station Category
1,CAQM_001,CAQM 001,INSTITUT LATIHAN PERINDUSTRIAN (KANGAR),KANGAR,PERLIS,Sub Urban
2,CAQM_002,CAQM 002,KOMPLEKS SUKAN LANGKAWI,PULAU LANGKAWI,KEDAH,Sub Urban
3,CAQM_003,CAQM 003,SEK. MEN. AGAMA KEDAH,ALOR SETAR,KEDAH,Sub Urban
4,CAQM_004,CAQM 004,SEK. MEN. KEB. TENGKU ISMAIL,SUNGAI PETANI,KEDAH,Sub Urban
5,CAQM_005,CAQM 005,KULIM HITECH (TBC),KULIM,KEDAH,Industry
6,CAQM_006,CAQM 006,SK SEBERANG JAYA,SEBERANG JAYA,PENANG,Urban
7,CAQM_007,CAQM 007,KOLEJ VAKASIONAL SEBERANG PRAI,PERAI,PENANG,Sub Urban
8,CAQM_008,CAQM 008,UNIVERSITI SAINS MALAYSIA,MINDEN,PENANG,Urban
9,CAQM_009,CAQM 009,KOLEJ VAKASIONAL BALIK PULAU,BALIK PULAU,PENANG,Sub Urban
10,CAQM_010,CAQM 010,SEK KEB. KAMPUNG AIR PUTIH,TAIPING,PERAK,Sub Urban
11,CAQM_011,CAQM 011,SEK. MEN. JALAN TASEK,TASEK IPOH,PERAK,Urban
12,CAQM_012,CAQM 012,SEK. KEB. JALAN PEGOH,PEGOH IPOH,PERAK,Sub Urban
13,CAQM_013,CAQM 013,PEJABAT PENTADBIRAN DAERAH MANJUNG,SERI MANJUNG,PERAK,Rural
14,CAQM_014,CAQM 014,UNIVERSITI PERGURUAN SULTAN IDRIS,TANJUNG MALIM,PERAK,Sub Urban
15,CAQM_015,CAQM 015,SEK. KEB. BATU MUDA,BATU MUDA,WPKL,Sub Urban
16,CAQM_016,CAQM 016,SEK. MEN. KEB. SERI PERMAISURI,CHERAS,WPKL,Urban
17,CAQM_017,CAQM 017,SEK. KEB. PRESINT 18,PUTRAJAYA,WPKL,Sub Urban
18,CAQM_018,CAQM 018,SEK. MEN. SAINS SELANGOR,KUALA SELANGOR,SELANGOR,Rural
19,CAQM_019,CAQM 019,SEK. KEB. BANDAR UTAMA,PETALING JAYA,SELANGOR,Sub Urban
20,CAQM_020,CAQM 020,SEK. KEB. TTDI JAYA,SHAH ALAM,SELANGOR,Urban
21,CAQM_021,CAQM 021,KLINIK KESIHATAN PANDAMARAN,PELABUHAN KLANG,SELANGOR,Sub Urban
22,CAQM_022,CAQM 022,KOLEJ MARA BANTING,BANTING,SELANGOR,Sub Urban
23,CAQM_023,CAQM 023,SEK. KEB. TAMAN SEMARAK (FASA 2),NILAI,NEGERI SEMBILAN,Sub Urban
24,CAQM_024,CAQM 024,SEK. MEN. TEKNIK TUANKU JAAFAR,SEREMBAN,NEGERI SEMBILAN,Urban
25,CAQM_025,CAQM 025,PUSAT SUMBER PENDIDIKAN N. SEMBILAN,PORT DICKSON,NEGERI SEMBILAN,Sub Urban
26,CAQM_026,CAQM 026,SEK. MEN. KEB. SERI PENGKALAN,ALOR GAJAH,MELAKA,Rural
27,CAQM_027,CAQM 027,SEK. KEB. TANJUNG MINYAK 2,BUKIT RAMBAI,MELAKA,Sub Urban
28,CAQM_028,CAQM 028,SEKOLAH TINGGI MELAKA,BANDARAYA MELAKA,MELAKA,Urban
29,CAQM_029,CAQM 029,KLINIK KESIHATAN BANDAR IOI,SEGAMAT,JOHOR,Sub Urban
30,CAQM_030,CAQM 030,KOLEJ VOKASIONAL MUAR,MUAR,JOHOR,Sub Urban
31,CAQM_031,CAQM 031,MRSM BATU PAHAT,BATU PAHAT,JOHOR,Sub Urban
32,CAQM_032,CAQM 032,KOLEJ KEJURURAWATAN KLUANG,KLUANG,JOHOR,Rural
33,CAQM_033,CAQM 033,INSTITUT PERGURUAN TEMENGGONG IBRAHIM,LARKIN,JOHOR,Urban
34,CAQM_034,CAQM 034,SEK. MEN. PASIR GUDANG 2,PASIR GUDANG,JOHOR,Sub Urban
35,CAQM_035,CAQM 035,SEK. KEB. LEPAU,PENGERANG,JOHOR,Industry
36,CAQM_036,CAQM 036,SEK. MEN. AGAMA BANDAR PENAWAR,KOTA TINGGI,JOHOR,Sub Urban
37,CAQM_037,CAQM 037,SEK. MEN. KEB. SERI ROMPIN,ROMPIN,PAHANG,Rural
